Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
7/23/2014 ,71.29,358.14,61.13,595.98
7/24/2014 ,74.98,358.61,60.769,593.35
7/25/2014 ,75.19,324.01,60.27,589.02
7/28/2014 ,74.92,320.41,60.67,590.6
7/29/2014 ,73.71,320,60.61,585.61
7/30/2014 ,74.677,322.51,62.0514,587.42
7/31/2014 ,72.65,312.99,60.39,571.6
8/1/2014 ,72.36,307.06,60.7714,566.07
8/4/2014 ,73.51,313.65,60.39,573.15
8/5/2014 ,72.69,312.32,60.41,565.07
8/6/2014 ,72.47,313.89,61.47,566.374
8/7/2014 ,73.17,311.45,64.2386,563.36
8/8/2014 ,73.06,316.8,63.69,568.77
8/11/2014 ,73.44,318.33,64.51,567.88
8/12/2014 ,72.83,319.32,63.77,562.73
8/13/2014 ,73.77,326.28,64.504,574.78
8/14/2014 ,74.296,333.21,64.41,574.65
8/15/2014 ,73.63,333.63,65.58,573.48
8/18/2014 ,74.59,334.53,66.57,582.16
8/19/2014 ,75.29,335.13,66.8786,586.86
8/20/2014 ,74.81,335.78,67.456,584.49
8/21/2014 ,74.57,332.91,67.436,583.37
8/22/2014 ,74.57,331.59,68.4557,582.56
8/25/2014 ,75.02,334.02,68.7,580.2
8/26/2014 ,75.9601,341.83,68.48,577.86
8/27/2014 ,74.63,343.18,67.814,571
8/28/2014 ,73.855,340.02,67.89,569.2
8/29/2014 ,74.82,339.04,68.23,571.6
9/2/2014 ,76.68,342.38,68.09,577.33
9/3/2014 ,75.83,339,68.2,577.94
9/4/2014 ,75.95,345.95,67.52,581.98
9/5/2014 ,77.26,346.38,67.95,586.08
9/8/2014 ,77.89,342.34,68.48,589.72
9/9/2014 ,76.67,329.75,68.43,581.01
9/10/2014 ,77.43,331.33,69.1986,583.1
9/11/2014 ,77.92,330.52,68.79,581.35
9/12/2014 ,77.48,331.19,68.08,575.62
9/15/2014 ,74.58,323.89,65.39,573.1
9/16/2014 ,76.08,327.76,65.27,579.95
9/17/2014 ,76.43,324,64.9329,584.77
9/18/2014 ,77,325,65.57,589.27
9/19/2014 ,77.91,331.32,65.36,596.08
9/22/2014 ,76.8,324.5,63.2543,587.37
9/23/2014 ,78.29,323.63,63.41,581.13
9/24/2014 ,78.535,328.21,64.37,587.99
9/25/2014 ,77.22,321.93,63.36,575.06
9/26/2014 ,78.79,323.21,64.11,577.1
9/29/2014 ,79,321.82,64.22,576.36
9/30/2014 ,79.04,322.44,64.4543,577.36
10/1/2014 ,76.55,317.46,62.69,568.27
10/2/2014 ,77.08,318.41,64.28,570.08
